time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1970-01-01T00:00:00.0Z,37.0035019,-117.9968338,0.0,0.0,mh,0.0,,,,ci,ci37038459,2016-04-02T20:22:05.312Z,"29km NE of Independence, CA",sonic boom,,,,0.0,reviewed,ci,ci
1970-01-01T00:00:00.0Z,35.642787899999995,-120.9336014,5.0,1.99,mh,2.0,,,,ci,ci11092098,2016-01-29T01:43:14.870Z,"11km SSW of Lake Nacimiento, CA",earthquake,,,,0.0,reviewed,ci,ci
1970-01-01T00:00:00.0Z,34.1645203,-118.1850357,0.0,0.0,mh,,,,,ci,ci15086796,2016-04-02T17:20:31.235Z,"4km S of La Canada Flintridge, CA",earthquake,,,,0.0,reviewed,ci,ci
1970-01-01T00:00:00.0Z,33.8364944,-116.781868,0.0,0.0,mh,,,,,ci,ci14891508,2016-04-02T14:10:48.389Z,"9km S of Cabazon, CA",sonic boom,,,,0.0,reviewed,ci,ci
1970-01-01T00:00:00.0Z,33.208477,-115.47699740000002,5.0,0.0,mh,,,,,ci,ci10925125,2016-04-02T04:32:22.103Z,"5km SE of Niland, CA",sonic boom,,,,0.0,reviewed,ci,ci
1970-01-01T00:00:00.0Z,32.663559,-116.1050262,0.0,0.0,mh,0.0,,,,ci,ci15099228,2016-04-02T14:10:49.670Z,"13km SW of Ocotillo, CA",sonic boom,,,,0.0,reviewed,ci,ci
1970-01-01T00:00:00.0Z,35.3544502,-115.4848938,0.0,0.5,mh,0.0,,,,ci,ci10169902,2016-01-29T01:19:00.110Z,"30km SSW of Primm, NV",quarry blast,,,,0.0,reviewed,ci,ci
1970-01-01T06:16:08.780Z,46.2765,-118.36,-0.26,2.3,md,6.0,303.0,0.52,0.14,uw,uw10836008,2016-07-24T23:40:13.450Z,Washington,earthquake,0.41,0.24,0.12,0.0,reviewed,uw,uw
1970-01-01T06:44:28.060Z,46.3328333,-118.3911667,-0.26,2.6,md,6.0,299.0,0.4814,0.15,uw,uw10836013,2016-07-24T23:40:13.680Z,Washington,earthquake,0.144,0.09,0.21,0.0,reviewed,uw,uw
1970-01-01T15:13:21.040Z,32.7071667,-115.417,6.0,2.75,mh,4.0,214.0,0.6036,0.58,ci,ci3324951,2016-01-29T01:29:00.290Z,"8km NE of Mexicali, B.C., MX",earthquake,4.6,31.61,0.084,6.0,reviewed,ci,ci
